Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:20:55:26.008,61,0.0000000000,0.0000000000,0.0000000000,0.1853616387,0.0000000000,0.1315998286,0.0538196638,0.0000000000,0.0000000000,0.2237378657,0.0000000000,0.0000000000,0.1323006600,0.0534591116,0.0217803959,0.0000000000,0.0000000000,0.0000000000,0.0055932263,0.0101106185,0.0000000000,0.0000000000,0.0000000000,0.1187040880,0.1116980985,0.0000000000,0.0000000000,0.0288641304,0.0273054875,0.0380400531,0.0343505479,0.0277065169,0.0075865770,0.0526941679,0.0304457285,0.0308731366,0.0330910459,0.0349676125,0.0315083042,0.0094232187,0.0078519862,0.2332277000,0.2332304567,0.0000000000,0.0000000000,0.0000000000,0.0008289201,0.0517613515,0.0580532625,0.0217128433,0.0219387896,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1248192340,-0.0613135956,0.0014540944,-0.1264751405,-0.0612056144,-0.0026969784
20:20:55:28.002,61,0.0000000000,0.0000000000,0.0000000000,0.1848756969,0.0000000000,0.1345144957,0.0604306459,0.0000000000,0.0000000000,0.2231421918,0.0000000000,0.0000000000,0.1352433562,0.0600539520,0.0219276268,0.0000000000,0.0000000000,0.0000000000,0.0057672863,0.0100812688,0.0000000000,0.0000000000,0.0000000000,0.1182916462,0.1109986827,0.0000000000,0.0000000000,0.0287921932,0.0272395760,0.0380885527,0.0344471075,0.0278230198,0.0076564425,0.0535468124,0.0306579378,0.0308901556,0.0331061557,0.0348869786,0.0313967839,0.0092915483,0.0077401772,0.2339649349,0.2339675426,0.0000000000,0.0000000000,0.0000000000,0.0009028590,0.0518744774,0.0581897907,0.0215498898,0.0218356960,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1244898140,-0.0623131320,0.0016358190,-0.1261799335,-0.0622054040,-0.0025799188
20:20:55:30.003,61,0.0000000000,0.0000000000,0.0000000000,0.1842564195,0.0000000000,0.1364115924,0.0606596321,0.0000000000,0.0000000000,0.2223551124,0.0000000000,0.0000000000,0.1371602118,0.0602640025,0.0220389813,0.0000000000,0.0000000000,0.0000000000,0.0061475644,0.0102825118,0.0000000000,0.0000000000,0.0000000000,0.1176568270,0.1099960208,0.0000000000,0.0000000000,0.0286574308,0.0271135550,0.0385788940,0.0348388031,0.0278544128,0.0076783528,0.0546027981,0.0309727732,0.0309682582,0.0332089886,0.0349864550,0.0314210951,0.0090991259,0.0075904313,0.2351332009,0.2351359427,0.0000000000,0.0000000000,0.0000000000,0.0010694037,0.0521001182,0.0585259609,0.0215265658,0.0219167769,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1240488440,-0.0613576397,0.0014730610,-0.1258001328,-0.0612499416,-0.0026819909
20:20:55:30.014,61,0.0000000000,0.0000000000,0.0000000000,0.1814303100,0.0000000000,0.1325134486,0.0622752756,0.0000000000,0.0000000000,0.2193865925,0.0000000000,0.0000000000,0.1331352592,0.0618777461,0.0216582250,0.0000000000,0.0000000000,0.0000000000,0.0059265168,0.0100499298,0.0000000000,0.0000000000,0.0000000000,0.1172661632,0.1094484180,0.0000000000,0.0000000000,0.0282270908,0.0266865492,0.0381108597,0.0342641175,0.0257984679,0.0074183079,0.0538811237,0.0307484362,0.0305579454,0.0327904224,0.0341486335,0.0308345314,0.0089062816,0.0074244658,0.2318552136,0.2318566889,0.0000000000,0.0000000000,0.0000000000,0.0009825883,0.0516823977,0.0581129603,0.0210224148,0.0212890115,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1223969012,-0.0622381344,0.0016510417,-0.1240753382,-0.0621304698,-0.0025590900
20:20:55:31.009,61,0.0000000000,0.0000000000,0.0000000000,0.1519396305,0.0000000000,0.1225950867,0.0191862527,0.0000000000,0.0000000000,0.1879437566,0.0000000000,0.0000000000,0.1230243072,0.0187534522,0.0211894829,0.0000000000,0.0000000000,0.0000000000,0.0056354944,0.0098619666,0.0000000000,0.0000000000,0.0000000000,0.1175091714,0.1097130999,0.0000000000,0.0000000000,0.0279550571,0.0264334213,0.0371057093,0.0336057097,0.0251857843,0.0072050649,0.0538521670,0.0308364946,0.0305449739,0.0327763893,0.0337638296,0.0305405874,0.0088686496,0.0074040648,0.2314272672,0.2314301729,0.0000000000,0.0000000000,0.0000000000,0.0008864307,0.0515438877,0.0579145700,0.0211971961,0.0213886425,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1048023254,-0.0423020497,-0.0012523043,-0.1060181484,-0.0421910472,-0.0041557243
20:20:55:33.004,61,0.0435533375,0.0340999626,0.0000000000,0.1078858674,0.0000000000,0.1142073274,0.0000000000,0.0442733318,0.0329148769,0.1405721903,0.0000000000,0.0000000000,0.1144598573,0.0000000000,0.0208875034,0.0000000000,0.0000000000,0.0000000000,0.0055745537,0.0100423824,0.0000000000,0.0000000000,0.0000000000,0.1179228500,0.1106097549,0.0000000000,0.0000000000,0.0280430447,0.0265462510,0.0367636494,0.0333757363,0.0253795385,0.0070995316,0.0541866086,0.0310548265,0.0309739225,0.0332152620,0.0345457569,0.0315649100,0.0091071343,0.0076218718,0.2368227094,0.2368929833,0.0000000000,0.0000000000,0.0000000000,0.0006622246,0.0521860123,0.0581840575,0.0268803127,0.0245394930,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0779116303,0.0183128938,-0.0083267465,-0.0788667873,0.0184321404,-0.0072291489
20:20:55:34.014,61,0.6079048514,0.3094306290,0.0000000000,0.0752925575,0.0000000000,0.1062354147,0.0000000000,0.6079683900,0.3070916533,0.1024221480,0.0000000000,0.0000000000,0.1063546166,0.0000000000,0.0208496209,0.0000000000,0.0000000000,0.0000000000,0.0062322053,0.0213719513,0.0000000000,0.0000000000,0.0000000000,0.1188556999,0.1143961549,0.0000000000,0.0000000000,0.0286959000,0.0274315011,0.0374709666,0.0340364762,0.0410928354,0.0067469762,0.0930118486,0.0459654815,0.0559785701,0.0599017330,0.0460224599,0.0406536870,0.0155585483,0.0119310413,0.2386452556,0.2387389392,0.0023287265,0.0000000000,0.0000000000,0.0004197771,0.0685780570,0.0692042187,0.0798389614,0.0724489540,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0540416390,0.1655777693,-0.0223613288,-0.0579136796,0.1657057405,-0.0120221032
20:20:55:35.010,61,0.5733571649,0.3430871964,0.0000000000,0.0706170797,0.0000000000,0.1003254578,0.0000000000,0.5736119747,0.3406490386,0.0980624706,0.0000000000,0.0000000000,0.1004370749,0.0000000000,0.0208831225,0.0000000000,0.0000000000,0.0000000000,0.0066619362,0.0243825465,0.0000000000,0.0000000000,0.0000000000,0.1255317926,0.1230264977,0.0000000000,0.0000000000,0.0292414129,0.0282401554,0.0380275324,0.0345998108,0.0455319360,0.0065056095,0.1021553949,0.0523589402,0.0615596771,0.0658065900,0.0491348878,0.0435010977,0.0191517528,0.0146438219,0.2401921600,0.2403204888,0.0076950300,0.0000000000,0.0000000000,0.0002930722,0.0714057982,0.0718743801,0.0880437791,0.0800533667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0512017980,0.1835584044,-0.0236655641,-0.0549480617,0.1836885512,-0.0120900190
20:20:55:35.011,61,0.5733571649,0.3430871964,0.0000000000,0.0706170797,0.0000000000,0.1003254578,0.0000000000,0.5736119747,0.3406490386,0.0980624706,0.0000000000,0.0000000000,0.1004370749,0.0000000000,0.0208831225,0.0000000000,0.0000000000,0.0000000000,0.0066619362,0.0243825465,0.0000000000,0.0000000000,0.0000000000,0.1255317926,0.1230264977,0.0000000000,0.0000000000,0.0292414129,0.0282401554,0.0380275324,0.0345998108,0.0455319360,0.0065056095,0.1021553949,0.0523589402,0.0615596771,0.0658065900,0.0491348878,0.0435010977,0.0191517528,0.0146438219,0.2401921600,0.2403204888,0.0076950300,0.0000000000,0.0000000000,0.0002930722,0.0714057982,0.0718743801,0.0880437791,0.0800533667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0512017980,0.1835584044,-0.0236655641,-0.0549480617,0.1836885512,-0.0120900190
20:20:55:36.006,61,0.5851141810,0.3216853440,0.0000000000,0.0798190460,0.0000000000,0.0982342437,0.0000000000,0.5833709836,0.3191861212,0.1080642045,0.0000000000,0.0000000000,0.0983355492,0.0000000000,0.0209551547,0.0000000000,0.0000000000,0.0000000000,0.0073269443,0.0273217466,0.0000000000,0.0000000000,0.0000000000,0.1312891245,0.1268158108,0.0000000000,0.0000000000,0.0298597999,0.0290083922,0.0406841449,0.0373106226,0.0477010347,0.0063160793,0.1060056612,0.0548568107,0.0644849166,0.0688055307,0.0573411882,0.0509780683,0.0216492973,0.0165577531,0.2410642952,0.2411990315,0.0104290163,0.0000000000,0.0000000000,0.0000868479,0.0732095167,0.0733111575,0.0919770598,0.0836884156,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0569162294,0.1721666753,-0.0238354914,-0.0605207644,0.1722962260,-0.0129952254
